code,amount,units,time,province,week_x,customerId,Supermarket_No,basket,day,voucher,Time of transactions,Day,Amount_x,Units,descrption,type,brand,size,postal-code,week_y,feature,display,Weekday,Month,IsWeekend,Total Basket Value,Average Units Per Basket,Promotion Active,Display Impact,Amount_y,Customer Category
7680850106,0.8,1,1100,2,1,125434,244,1,1,0,1970-01-01 00:00:00.000001100,1970-01-01 00:00:00.000000001,0.8,1,BARILLA ANGEL HAIR,Type 2,Barilla,16 OZ,40222,,,,Thursday,1,0,4.39,1.0,0,0,4.39,High
3620000470,3.59,1,1100,2,1,125434,244,1,1,0,1970-01-01 00:00:00.000001100,1970-01-01 00:00:00.000000001,3.59,1,BERTOLLI TOM&BASIL SAUCE,Type 3,Bertolli,24 OZ,40222,,,,Thursday,1,0,4.39,1.0,0,0,4.39,High
1800028064,2.25,1,1137,2,1,108320,244,2,1,0,1970-01-01 00:00:00.000001137,1970-01-01 00:00:00.000000001,2.25,1,H J PANCK BTRMLK COMP MIX,Type 1,Hungry Jack,,40222,,,,Thursday,1,0,2.25,1.0,0,0,2.25,Medium
9999985067,0.85,1,1148,2,1,162016,244,3,1,0,1970-01-01 00:00:00.000001148,1970-01-01 00:00:00.000000001,0.85,1,PRIVATE LABEL VERMICELLI,Type 2,Private Label,16 OZ,40222,,,,Thursday,1,0,0.85,1.0,0,0,0.85,Low
9999985131,2.19,1,1323,2,1,89437,244,4,1,0,1970-01-01 00:00:00.000001323,1970-01-01 00:00:00.000000001,2.19,1,PRIVATE LABEL IMPORTED LASAGNA,Type 2,Private Label Premium,16 OZ,40222,,,,Thursday,1,0,4.38,1.0,0,0,4.38,High
5100002794,2.19,1,1323,2,1,89437,244,4,1,0,1970-01-01 00:00:00.000001323,1970-01-01 00:00:00.000000001,2.19,1,PREGO SPAG SAUCE MEAT,Type 3,Prego,26 OZ,40222,,,,Thursday,1,0,4.38,1.0,0,0,4.38,High
1800000957,3.45,1,1415,2,1,158549,244,5,1,0,1970-01-01 00:00:00.000001415,1970-01-01 00:00:00.000000001,3.45,1,PILL H J MWV LITE SYRUP,Type 4,Hungry Jack,27.6 OZ,40222,,,,Thursday,1,0,4.74,1.0,0,0,4.74,High
9999985051,1.29,1,1415,2,1,158549,244,5,1,0,1970-01-01 00:00:00.000001415,1970-01-01 00:00:00.000000001,1.29,1,PRIVATE LABEL SPAGHETTI THIN,Type 2,Private Label,32OZ,40222,,,,Thursday,1,0,4.74,1.0,0,0,4.74,High
9999985053,0.75,1,1513,2,1,18851,244,6,1,0,1970-01-01 00:00:00.000001513,1970-01-01 00:00:00.000000001,0.75,1,PRIVATE LABEL CONCHIGLIE RIGATE SHL,Type 2,Private Label Premium,16 OZ,40222,,,,Thursday,1,0,0.75,1.0,0,0,0.75,Low
3620000446,2.19,1,1523,2,1,118337,244,7,1,0,1970-01-01 00:00:00.000001523,1970-01-01 00:00:00.000000001,2.19,1,RAGU GARDEN SUPER VEG SCE,Type 3,Ragu,26 OZ,40222,,,,Thursday,1,0,2.19,1.0,0,0,2.19,Medium
3000005620,3.65,1,1624,2,1,8283,244,8,1,0,1970-01-01 00:00:00.000001624,1970-01-01 00:00:00.000000001,3.65,1,QUAKER AUNT JAM BUTR LITE,Type 4,Aunt Jemima,24 OZ,40222,,,,Thursday,1,0,8.8,1.0,0,0,8.8,High
3340060177,1.5,1,1624,2,1,8283,244,8,1,0,1970-01-01 00:00:00.000001624,1970-01-01 00:00:00.000000001,1.5,1,SAN GIORGI TRIO ITALIANO,Type 2,San Giorgio,16 OZ,40222,,,,Thursday,1,0,8.8,1.0,0,0,8.8,High
4112907712,3.65,1,1624,2,1,8283,244,8,1,0,1970-01-01 00:00:00.000001624,1970-01-01 00:00:00.000000001,3.65,1,CLSCO SAUCE TOMATOE BASIL,Type 3,Classico,26 OZ,40222,,,,Thursday,1,0,8.8,1.0,0,0,8.8,High
5100015056,3.19,1,1711,2,1,125537,244,9,1,0,1970-01-01 00:00:00.000001711,1970-01-01 00:00:00.000000001,3.19,1,PREGO HEARTY MT ITALIAN S,Type 3,Prego,27.5 OZ,40222,,,,Thursday,1,0,3.64,1.0,0,0,3.64,High
9999985001,0.45,1,1711,2,1,125537,244,9,1,0,1970-01-01 00:00:00.000001711,1970-01-01 00:00:00.000000001,0.45,1,PRIVATE LABEL THIN SPAGHETTI,Type 2,Private Label,N     7 OZ,40222,,,,Thursday,1,0,3.64,1.0,0,0,3.64,High
9999985047,0.75,1,1738,2,1,6074,244,10,1,0,1970-01-01 00:00:00.000001738,1970-01-01 00:00:00.000000001,0.75,1,PRIVATE LABEL PENNE RIGATE,Type 2,Private Label Premium,16 OZ,40222,,,,Thursday,1,0,0.75,1.0,0,0,0.75,Low
1510000236,1.19,1,1754,2,1,108013,244,11,1,0,1970-01-01 00:00:00.000001754,1970-01-01 00:00:00.000000001,1.19,1,CREAMETTE PENNE RIGATE,Type 2,Creamette,16 OZ,40222,,,,Thursday,1,0,3.38,1.0,0,0,3.38,High
3620000446,2.19,1,1754,2,1,108013,244,11,1,0,1970-01-01 00:00:00.000001754,1970-01-01 00:00:00.000000001,2.19,1,RAGU GARDEN SUPER VEG SCE,Type 3,Ragu,26 OZ,40222,,,,Thursday,1,0,3.38,1.0,0,0,3.38,High
2066200020,2.79,1,1815,2,1,53674,244,12,1,0,1970-01-01 00:00:00.000001815,1970-01-01 00:00:00.000000001,2.79,1,NEWMANS MARINARA SAUCE,Type 3,Newman's,26 OZ,40222,,,,Thursday,1,0,4.43,1.0,0,0,4.43,High
9999985070,0.79,1,1815,2,1,53674,244,12,1,0,1970-01-01 00:00:00.000001815,1970-01-01 00:00:00.000000001,0.79,1,PRIVATE LABEL SALAD SHELLS,Type 2,Private Label,16 OZ,40222,,,,Thursday,1,0,4.43,1.0,0,0,4.43,High
9999985067,0.85,1,1815,2,1,53674,244,12,1,0,1970-01-01 00:00:00.000001815,1970-01-01 00:00:00.000000001,0.85,1,PRIVATE LABEL VERMICELLI,Type 2,Private Label,16 OZ,40222,,,,Thursday,1,0,4.43,1.0,0,0,4.43,High
5100005045,2.19,1,1834,2,1,69963,244,13,1,0,1970-01-01 00:00:00.000001834,1970-01-01 00:00:00.000000001,2.19,1,PREGO ZESTY MUSH/X SPICY,Type 3,Prego,26 OZ,40222,,,,Thursday,1,0,2.19,1.0,0,0,2.19,Medium
9999985071,0.79,1,1838,2,1,113524,244,14,1,0,1970-01-01 00:00:00.000001838,1970-01-01 00:00:00.000000001,0.79,1,PRIVATE LABEL SALAD ROTINI BAG,Type 2,Private Label,16 OZ,40222,,,,Thursday,1,0,2.98,1.0,0,0,2.98,Medium
5100001212,2.19,1,1838,2,1,113524,244,14,1,0,1970-01-01 00:00:00.000001838,1970-01-01 00:00:00.000000001,2.19,1,PREGO MUSHROOM & GARLIC,Type 3,Prego,26    OZ,40222,,,,Thursday,1,0,2.98,1.0,0,0,2.98,Medium
9999985766,1.79,1,1934,2,1,168571,244,15,1,0,1970-01-01 00:00:00.000001934,1970-01-01 00:00:00.000000001,1.79,1,PRIVATE LABEL ITALIAN TRI COLORE CRE,Type 2,Private Label Premium,16 OZ,40222,,,,Thursday,1,0,5.33,1.0,0,0,5.33,High
9999985048,0.75,1,1934,2,1,168571,244,15,1,0,1970-01-01 00:00:00.000001934,1970-01-01 00:00:00.000000001,0.75,1,PRIVATE LABEL FARFALLE BOWTIES,Type 2,Private Label Premium,16 OZ,40222,,,,Thursday,1,0,5.33,1.0,0,0,5.33,High
